id,nome_completo,endereco,ano_nascimento,documento,tipo_cliente,sexo,estado_civil,limite_credito,situacao_cadastral
1,Sr. Guilherme Campos,Fazenda Cunha,1990,60879432187,F,M,D,11740.39,A
2,Dr. Rodrigo Alves,"Lagoa Vargas, 86",1977,16039275812,F,M,V,11850.02,I
3,Sra. Rafaela Mendonça,"Loteamento Nascimento, 61",1968,92830716000134,J,F,V,7824.15,I
4,Camila Azevedo,"Praia de Caldeira, 905",1985,90453162000178,J,O,C,12716.58,I
5,Sra. Antonella Pinto,"Estrada de Correia, 195",1956,04928316703,F,O,V,10221.27,A
6,Murilo Costela,"Rodovia da Mata, 324",1993,91362875000199,J,M,D,1148.57,I
7,Ana Beatriz Nascimento,"Vila Davi Câmara, 20",1997,74186503000130,J,F,D,11443.79,I
8,Esther Rezende,"Fazenda João Guilherme Sampaio, 4",1958,21695034805,F,F,S,18869.81,A
9,Stephany Jesus,"Viaduto Matteo da Cruz, 6",1990,21704589649,F,F,D,3148.21,A
10,Lunna Ferreira,Aeroporto de Fernandes,1982,53486210000106,J,F,C,6672.65,I
11,Thiago Cassiano,"Lago de Melo, 82",1960,01954326734,F,M,V,13482.58,A
12,Agatha Azevedo,"Alameda de Cunha, 769",1981,16584702308,F,F,V,10913.89,A
13,Fernanda Marques,"Travessa da Rocha, 45",1999,78352041932,F,F,C,5126.54,A
14,Cauê Aparecida,"Colônia de Ribeiro, 31",1986,64185729000162,J,M,V,1523.37,I
15,Sra. Stephany Farias,"Chácara de Campos, 853",1996,06841295749,F,F,D,16256.7,A
16,Srta. Maria Alice Sá,"Área de Camargo, 32",1974,15068973000130,J,F,S,6316.69,A
17,Ana Laura da Paz,"Rodovia Cunha, 772",2005,05987631000160,J,O,S,15733.21,I
18,Joana Porto,"Via Moreira, 7",1999,46257198364,F,F,V,15846.69,I
19,Liz Teixeira,Praça Correia,1968,14976250849,F,O,S,6085.26,I
20,Sra. Maria Vitória Sá,"Vila Ravi Lucca Lopes, 539",2000,86419305233,F,F,C,16306.55,I
21,Gabriel Fernandes,"Passarela da Costa, 3",2003,87364125000189,J,M,D,13014.42,A
22,Ana Clara Teixeira,"Quadra de Vieira, 52",1988,76534081920,F,F,S,9017.86,A
23,Sr. José Miguel Oliveira,"Vila Daniela Correia, 70",1968,73160258000129,J,M,C,18130.73,A
24,Nicole Siqueira,"Parque Henry Pimenta, 89",1979,34096187593,F,O,V,7058.48,A
25,Dra. Alexia Ribeiro,"Viaduto Cunha, 69",1961,37619820540,F,O,V,5329.17,I
26,Dra. Júlia da Luz,"Viaduto Casa Grande, 866",1964,70264813000174,J,O,S,13569.54,I
27,Laís Caldeira,"Praça de Novaes, 2",1965,13260479570,F,F,D,18931.62,A
28,Dra. Laura Costa,"Colônia de Fogaça, 7",1974,94053726000136,J,F,D,13933.1,A
29,Leandro Nogueira,"Recanto Valentim da Costa, 45",1990,45798062120,F,M,S,5000.2,A
30,Yasmin Albuquerque,Largo Aragão,1993,18379604000156,J,O,C,2296.45,A
31,Dra. Eloah da Rosa,Campo da Luz,1967,94570683274,F,F,D,12562.61,A
32,Dra. Isadora da Paz,"Praia Cunha, 44",1968,71690258000105,J,O,V,13645.08,A
33,Maria Julia Azevedo,"Conjunto Bruno da Conceição, 983",1965,48015269776,F,F,V,4806.08,A
34,Luiz Felipe Cavalcante,"Largo Ribeiro, 75",1992,81245073680,F,M,V,13682.37,A
35,Luara Costa,"Aeroporto de Oliveira, 1",1995,90158237000198,J,F,V,15307.03,A
36,Antony Vasconcelos,Estação Pastor,1991,03174682517,F,M,V,2993.78,A
37,Léo Montenegro,Esplanada Milena Porto,1984,20584793000140,J,M,S,3995.05,I
38,Ana Lívia Pimenta,"Estrada Pires, 629",1993,57408392000140,J,O,V,19950.02,A
